firstname,lastname,avg_rating
Kenneth,Stolarsky,2.6667
Heydari,Barardehi,3
Maarten,Bergvelt,3.4444
Dallas,Trinkle,4
James,Imlay,5
Samuel,Gleason,4
Lynn,Sikma,5
Kara,Federmeier,3.6667
Brian,Ross,4.25
Carie,Steele,1
Mike,Amezcua,3
Gisela,Sin,5
Britni,Townsend,5
Lisa,Travis,2.75
Fei,Wang,3
Steven,Bradlow,3.25
Debra,Hagstrom,5
Morten,Lundsgaard,1
Peter,Lasersohn,5
Jacalyn,Wittmer,5
Douglas,Simpson,3
Matthew,West,3.5
Rebekah,Arana,5
Kristina,Miler,3
Fiona,Ngo,4.5
Patrick,McGrath,5
Edward,Ofori,5
Bruce,Reznick,5
Susan,Farner,4.3529
Laura,Galicia,5
Laura,Hastings,4
Scott,White,3
Kristina,Rennekamp,5
Kevin,Ford,3.6667
Hugh,Robertson,4.6667
Zhuowei,Huang,5
Phillip,O'Connor,5
David,Sinow,3.3333
Benjamin,Bascom,4
Georgepierre,Lebron,3.2
Jeanne,Connell,3.25
Jacqueline,McDowell,1
Minh-Quang,Sakya,5
Elaina,Osterbur,5
Kevin,Teng,3
Joan,Huber,2
Roberto,Galvez,5
Edwin,Carrington,4
Mithilesh,Mishra,5
Sheila,Dean,3
Xinlei,Wang,4
Christine,Yerkes,3.1739
Amelia,Herb,3
Scott,Scharfenberg,5
Anupama,Varadharajan,4.6667
Rachel,Rizzo,3
Jiri,Lebl,4.5
Cheryl,Light,2.3333
Cynthia,Turner,2
Thomas,Nevins,3.6667
Elizabeth,Tyler,2
Latrelle,Bright,3
Armstrong,,4.6667
Alison,Colgrove,1
Alan,Hansen,3.5
Wei,Li,3.5
Elizabeth,Good,1.6667
Andrei,Kuzminov,1
Mandy,Troger,5
Matthew,Kamps,5
Dale,Bauer,3
Reynolds-Tylus,,4
Rebecca,Foote,4.5
Teran-Garcia,,5
Thomas,Bassett,3.4286
Yannick,Lionel,3
James,Beauchamp,1
Jane,Marshall,3.5
John,D'Angelo,2.5
William,Noble,3
Lanqing,Hua,1
Jeff,Erickson,3.5
Janice,Sherbert,4
Cassandra,Meinert,4
Eric,Peterson,4
Norah,Dick,5
Christopher,Fennell,4.5
Mahir,Saul,3
Jill,Clements,4
Benjamin,Gailey,4.25
Barbara,Minsker,1.4
Mark,David,4.1
Samantha,Hack-Ritzo,5
Sean,Curtin,4
Marc,Perry,2
Marcelo,Bucheli,1
Steven,Wilson,1.3333
Rakesh,Bhatt,4
Andrew,Suarez,4.6667
Sangsook,Lee-Chung,5
Andrew,Hall,4.6667
Elizabeth,Sweet,1
Patrick,Keenan,5
Patrick,McSorley,5
Mary,Eamon,3
Katherine,Tryon,5
Francis,Boyle,3.5
Andrew,Hunte,5
Gary,Wszalek,5
Hyun,Kim,2.3333
Noel,Zavala,4
Terry,Von,5
Bettina,Francis,3
Gregg,Strauss,4
Rachel,Kimnach,5
Paul,Stoddard,4.8571
Billy,Vermillion,3.5
Paul,Diehl,4
Priyam,Tripathy,4.4
Jennifer,Pahre,4
Marni,Boppart,4
Michael,Sandretto,5
Rayvon,Fouche,4.3333
Luke,Olson,4.3333
Hee,Chung,4
Elizabeth,LeMay,4
Jack,Ikeda,2.7143
Arthur,Schmidt,4.6667
Melanie,Waters,2.8889
Carlie,Fieseler,1
Mark,Taylor,2.5
Laura,McCloskey,2
Douglas,Elrick,4
Nathaniel,Chio,4
Kun,Kim,2
Kerianne,Quick,5
Bruce,Fouke,5
Huang-Wen,Lai,5
Wanju,Huang,5
Richard,Esbenshade,2
Curtis,Shoaf,4.6667
Sara,Shrader,2
Serife,Genis,2.1667
Verity,Winship,3.25
David,Michael,5
J.,Beckett,4.5
Athol,Kemball,4.6667
Robert,McGrew,4
Timur,Oikhberg,1.5
Thomas,Turino,3.3333
Mary,Edwards,4.75
Seda,Durguner,5
Dorine,Brand,2.5
Christine,Deloff,5
Stephen,Downie,5
